neighbourhood,Listings_2015,Listings_2016,Listings_2017,STR_2015,STR_2016,STR_2017,District
Bayview,84,126,117,46374.21,58118.04,45354.45,Southern
Bernal Heights,156,191,222,68704.42,77447.15,72724.98,Southern
Castro/Upper Market,191,246,231,84268.13,97370.54,90733.81,Southern
Chinatown,78,123,129,91821.37,108057.51,99129.42,Downtown
Crocker Amazon,46,51,52,47207.84,43735.51,35399.72,Southern
Diamond Heights,27,36,34,68284.92,74357.28,71024.86,Southern
Downtown/Civic Center,140,213,230,72078.61,83886.67,76940.31,Downtown
Excelsior,88,130,124,43652.29,61899.64,50886.61,Southern
Financial District,108,165,155,92887.65,110015.63,112270.6,Downtown
Glen Park,70,100,92,82005.49,88719.84,80460.32,Southern
Golden Gate Park,38,39,45,64965.9,73459.1,80974.7,Outside Lands
Haight Ashbury,177,211,207,90304.8,94135.98,87583.34,Western Addition
Inner Richmond,118,173,200,69594.5,88809.19,82335.97,Outside Lands
Inner Sunset,103,145,143,74135.12,100141.14,88567.05,Outside Lands
Lakeshore,53,88,74,46948.12,46966.61,51024.29,Outside Lands
Marina,167,207,212,101661.68,122026.59,117542.63,North Downtown
Mission,262,324,317,72660.58,81379.46,77742.92,Southern
Nob Hill,152,179,174,82098.4,90394.61,93298.94,Downtown
Noe Valley,159,194,209,89350.5,99387.38,94681.92,Southern
North Beach,124,154,167,82945.11,100074.55,100401.66,Downtown
Ocean View,76,105,112,45585.14,51586.67,53409.62,Outside Lands
Outer Mission,100,129,151,57498.28,67217.64,64530.47,Southern
Outer Richmond,110,138,155,59688.79,75338.59,74686.38,Outside Lands
Outer Sunset,122,161,169,61484.61,61144.05,57417.92,Outside Lands
Pacific Heights,138,188,193,112492.45,131439.06,119946.37,North Downtown
Parkside,80,125,112,56481.23,61925.08,80967.16,Outside Lands
Potrero Hill,144,188,190,79808.98,109061.58,109022.58,Southern
Presidio,16,22,13,122404.52,173620.23,180809.47,North Downtown
Presidio Heights,56,69,71,96140.52,199893.69,186860.93,North Downtown
Russian Hill,125,202,194,97908.72,131082.06,126076.69,North Downtown
Seacliff,26,36,54,90754.15,99225.46,146973.33,Outside Lands
South of Market,216,333,320,99723.07,120694.4,118016.84,Downtown
Treasure Island/YBI,19,26,28,44054.39,47715.75,38611.79,North Downtown
Twin Peaks,81,110,120,70914.47,85303.3,80264.48,Southern
Visitacion Valley,39,70,68,43419.13,54705.92,48519.79,Southern
West of Twin Peaks,92,136,145,84291.93,92828.69,82899.2,Southern
Western Addition,212,299,273,75755.78,96225.83,105159.4,Western Addition
